Image,Cytoplasm_Threshold,Nucleus_Threshold,Dice_Score,Accuracy
003.bmp,179.22,69.0,0.9678,0.9695
004.bmp,197.3,94.67,0.946,0.9587
005.bmp,177.25,71.77,0.8045,0.8118
006.bmp,181.92,84.33,0.9811,0.9758
007.bmp,193.89,97.18,0.9079,0.9469
008.bmp,187.68,84.37,0.9506,0.9469
009.bmp,179.2,77.0,0.9836,0.9695
010.bmp,172.16,71.68,0.9721,0.9428
011.bmp,182.78,80.75,0.9641,0.9664
012.bmp,187.32,85.34,0.9753,0.959
013.bmp,171.61,62.83,0.8921,0.8284
014.bmp,192.47,92.47,0.9329,0.9455
015.bmp,186.11,83.02,0.9764,0.9619
016.bmp,201.69,91.22,0.9506,0.9629
017.bmp,175.05,76.82,0.9752,0.9746
018.bmp,174.33,78.45,0.9506,0.954
019.bmp,194.62,92.07,0.9552,0.9638
020.bmp,180.65,80.37,0.9694,0.9615
021.bmp,177.34,67.64,0.9805,0.926
022.bmp,191.79,85.13,0.973,0.9712
023.bmp,191.17,75.79,0.9791,0.9756
024.bmp,183.31,70.39,0.9732,0.9455
025.bmp,221.23,129.87,0.9191,0.9549
026.bmp,196.34,94.01,0.8934,0.8759
027.bmp,198.12,100.56,0.92,0.9271
028.bmp,198.47,100.77,0.9137,0.9237
029.bmp,218.06,135.3,0.9801,0.9656
030.bmp,208.5,132.93,0.9467,0.8999
031.bmp,220.87,135.86,0.9729,0.9788
032.bmp,216.42,134.28,0.9058,0.9476
033.bmp,214.16,137.87,0.9059,0.9254
034.bmp,213.21,136.08,0.9199,0.9282
035.bmp,209.38,134.75,0.8284,0.8543
036.bmp,222.16,144.67,0.9428,0.9594
037.bmp,208.9,127.51,0.9337,0.9401
038.bmp,221.95,142.99,0.9454,0.9724
039.bmp,218.24,141.6,0.8689,0.9038
040.bmp,217.3,145.67,0.9092,0.9247
041.bmp,217.51,144.02,0.8304,0.8768
042.bmp,216.52,145.54,0.8778,0.8899
043.bmp,209.67,132.52,0.8095,0.8342
044.bmp,203.18,119.25,0.7529,0.7887
045.bmp,209.55,131.86,0.9233,0.9349
046.bmp,217.23,144.5,0.9261,0.929
047.bmp,214.13,127.02,0.847,0.9197
048.bmp,210.97,127.69,0.9106,0.9253
049.bmp,214.38,130.98,0.8963,0.9217
050.bmp,212.7,134.47,0.8927,0.9116
051.bmp,220.47,132.98,0.9228,0.9568
052.bmp,211.95,132.72,0.818,0.8524
053.bmp,179.78,84.42,0.6971,0.7847
054.bmp,201.07,105.06,0.9675,0.9631
055.bmp,212.93,124.16,0.9168,0.9393
056.bmp,210.31,123.18,0.9761,0.9719
057.bmp,202.53,110.38,0.969,0.9681
058.bmp,199.53,114.09,0.8695,0.9025
059.bmp,213.32,128.87,0.9343,0.9522
060.bmp,201.54,110.57,0.944,0.9312
061.bmp,214.04,125.85,0.874,0.9147
062.bmp,217.31,122.44,0.9638,0.978
063.bmp,182.9,89.62,0.8638,0.8842
064.bmp,205.25,111.61,0.9741,0.9772
065.bmp,211.71,127.36,0.9558,0.9649
066.bmp,194.42,93.19,0.9849,0.9378
067.bmp,215.9,132.82,0.8768,0.9476
068.bmp,213.65,136.43,0.8176,0.8565
069.bmp,204.11,108.32,0.9845,0.9799
070.bmp,215.79,117.92,0.9815,0.9671
071.bmp,209.48,132.28,0.9663,0.9555
072.bmp,205.14,95.55,0.9899,0.9798
073.bmp,216.68,122.4,0.9704,0.9768
074.bmp,187.11,75.88,0.9419,0.9591
075.bmp,186.85,75.22,0.9783,0.9781
076.bmp,211.47,103.57,0.9569,0.9789
077.bmp,211.75,113.26,0.9303,0.963
078.bmp,206.88,113.3,0.9095,0.9425
079.bmp,198.36,79.43,0.9821,0.9779
080.bmp,207.03,97.32,0.8611,0.9351
081.bmp,216.11,132.08,0.9788,0.9722
082.bmp,165.32,52.63,0.9559,0.7596
083.bmp,184.21,85.15,0.9527,0.8209
084.bmp,205.82,126.33,0.9744,0.9415
085.bmp,205.18,118.42,0.9719,0.9509
086.bmp,199.96,121.09,0.9329,0.7908
087.bmp,200.97,129.49,0.9519,0.7114
088.bmp,202.59,127.93,0.8467,0.8193
089.bmp,186.87,81.73,0.8711,0.7801
090.bmp,190.84,95.53,0.9132,0.8399
091.bmp,183.71,78.96,0.9613,0.8218
092.bmp,199.69,105.86,0.9624,0.9182
093.bmp,212.41,147.6,0.9793,0.9103
094.bmp,217.61,146.71,0.8032,0.9353
095.bmp,219.2,147.63,0.8616,0.9412
096.bmp,205.62,128.82,0.9003,0.9416
097.bmp,210.4,132.79,0.8163,0.9124
098.bmp,215.96,140.29,0.7989,0.9157
099.bmp,215.81,136.66,0.8286,0.9181
100.bmp,210.68,121.5,0.9745,0.9436
101.bmp,213.08,130.91,0.8961,0.9457
102.bmp,216.12,138.39,0.9525,0.971
103.bmp,199.61,110.8,0.9657,0.9734
104.bmp,182.26,81.05,0.9655,0.9256
105.bmp,203.04,125.27,0.8454,0.9059
106.bmp,205.36,113.05,0.9849,0.9853
107.bmp,194.86,118.99,0.8904,0.9269
108.bmp,203.59,103.85,0.9271,0.9172
109.bmp,190.84,86.68,0.8504,0.9064
110.bmp,202.72,115.08,0.7488,0.8901
111.bmp,184.76,85.57,0.9776,0.9798
112.bmp,201.67,107.57,0.858,0.9192
113.bmp,201.82,113.67,0.9285,0.958
114.bmp,175.04,105.31,0.8457,0.8948
115.bmp,174.77,116.24,0.9201,0.7937
116.bmp,178.4,112.71,0.9755,0.8882
117.bmp,178.4,106.84,0.9708,0.944
118.bmp,171.85,109.92,0.9814,0.8943
